user_id,role_id
1,8
2,6
3,1
4,6
5,4
6,2
7,2
8,4
9,2
10,3
11,6
12,7
13,3
14,6
15,6
16,6
17,2
18,3
19,4
20,2
21,6
22,7
23,6
24,5
25,6
26,2
27,1
28,6
29,4
30,6
31,5
32,5
33,8
34,6
35,2
36,6
37,2
38,2
39,5
40,6
41,6
42,6
43,6
44,7
45,2
46,6
47,4
48,4
49,2
50,6
51,6
52,5
53,2
54,6
55,6
56,5
57,6
58,5
59,5
60,6
61,1
62,5
63,3
64,7
65,6
66,2
67,4
68,4
69,2
70,6
71,6
72,6
73,5
74,5
75,6
76,7
77,4
78,6
79,5
80,6
81,6
82,6
83,4
84,6
85,5
86,6
87,6
88,5
89,2
90,6
91,6
92,6
93,6
94,2
95,5
96,6
97,4
98,2
99,4
100,6
101,6
102,2
103,6
104,6
105,4
106,6
107,3
108,5
109,5
110,6
111,8
112,6
113,6
114,7
115,6
116,2
117,6
118,6
119,5
120,5
121,6
122,5
123,6
124,6
125,7
126,7
127,6
128,6
129,2
130,2
131,7
132,5
133,6
134,4
135,6
136,2
137,6
138,2
139,1
140,6
141,3
142,6
143,2
144,2
145,4
146,6
147,6
148,1
149,6
150,4
151,4
152,2
153,4
154,7
155,6
156,5
157,5
158,8
159,6
160,6
161,6
162,6
163,2
164,4
165,6
166,6
167,7
168,2
169,7
170,5
171,6
172,6
173,6
174,6
175,6
176,2
177,6
178,6
179,6
180,6
181,6
182,6
183,5
184,6
185,8
186,6
187,6
188,5
189,6
190,2
191,5
192,1
193,6
194,5
195,4
196,6
197,6
198,5
199,3
200,7
201,4
202,5
203,6
204,3
205,7
206,2
207,6
208,6
209,5
210,6
211,5
212,6
213,6
214,6
215,6
216,6
217,7
218,6
219,6
220,6
221,6
222,5
223,5
224,3
225,3
226,6
227,6
228,3
229,2
230,5
231,4
232,3
233,5
234,3
235,2
236,2
237,6
238,2
239,6
240,4
241,5
242,2
243,2
244,1
245,6
246,5
247,5
248,6
249,6
250,4
251,2
252,6
253,2
254,1
255,6
256,5
257,6
258,6
259,3
260,6
261,3
262,5
263,5
264,6
265,6
266,5
267,5
268,6
269,5
270,6
271,6
272,6
273,6
274,6
275,1
276,7
277,6
278,2
279,6
280,6
281,7
282,6
283,6
284,8
285,5
286,6
287,6
288,5
289,6
290,4
291,4
292,5
293,3
294,6
295,1
296,6
297,6
298,6
299,5
300,2
301,5
302,6
303,6
304,6
305,6
306,5
307,6
308,5
309,1
310,4
311,5
312,5
313,5
314,5
315,6
316,2
317,6
318,6
319,6
320,1
321,5
322,4
323,6
324,6
325,6
326,6
327,6
328,7
329,6
330,5
331,5
332,5
333,6
334,7
335,5
336,6
337,5
338,6
339,6
340,6
341,7
342,3
343,2
344,4
345,3
346,2
347,3
348,1
349,5
350,6
351,6
352,5
353,6
354,6
355,1
356,5
357,6
358,2
359,6
360,4
361,6
362,6
363,6
364,6
365,6
366,6
367,6
368,5
369,1
370,5
371,2
372,5
373,8
374,5
375,6
376,8
377,6
378,6
379,7
380,6
381,6
382,2
383,6
384,7
385,6
386,4
387,7
388,5
389,6
390,5
391,4
392,7
393,6
394,2
395,6
396,6
397,6
398,3
399,6
400,4
